iter	RMSE
0	9.770098528
1	8.444567371
2	7.497578212
3	6.793072979
4	6.341557021
5	6.016649575
6	5.774983265
7	5.578074142
8	5.445638849
9	5.373287484
10	5.318445208
11	5.261215217
12	5.208172533
13	5.169344582
14	5.128260773
15	5.094093587
16	5.076359643
17	5.065263463
18	5.04407508
19	5.022460946
20	4.999314448
21	4.982742983
22	4.962225016
23	4.936077884
24	4.911958479
25	4.905210839
26	4.886030969
27	4.873415231
28	4.864309239
29	4.852808217
30	4.839043393
31	4.828501723
32	4.816492318
33	4.802118628
34	4.786818156
35	4.77775448
36	4.765946369
37	4.754982152
38	4.743453675
39	4.732771369
40	4.721248704
41	4.716395343
42	4.711370213
43	4.703971128
44	4.694531173
45	4.682550986
46	4.67264569
47	4.66191817
48	4.651934091
49	4.644879637
50	4.633108582
51	4.627389961
52	4.622109319
53	4.614138163
54	4.60621864
55	4.598665252
56	4.589406917
57	4.578792361
58	4.569016569
59	4.564391378
60	4.554839837
61	4.546459132
62	4.543279796
63	4.536417575
64	4.525578662
65	4.514100671
66	4.507188887
67	4.50008232
68	4.490774255
69	4.484134742
70	4.477030604
71	4.471315107
72	4.461670964
73	4.456631146
74	4.448258159
75	4.443457477
76	4.438247713
77	4.433760572
78	4.427037579
79	4.422755933
80	4.415293971
81	4.410068636
82	4.405330127
83	4.39901166
84	4.397364021
85	4.391106946
86	4.384066465
87	4.376368509
88	4.370447775
89	4.364541623
90	4.358992329
91	4.352462276
92	4.346922245
93	4.343883232
94	4.337507286
95	4.333064009
96	4.327983438
97	4.322360541
98	4.318368525
99	4.313865131
100	4.308835377
101	4.304208847
102	4.298884825
103	4.294925739
104	4.290501514
105	4.286253896
106	4.282717965
107	4.276125163
108	4.272547627
109	4.26924912
110	4.266358366
111	4.261283676
112	4.25761986
113	4.254227148
114	4.252218939
115	4.246744819
116	4.244198247
117	4.240836327
118	4.235750945
119	4.233324106
120	4.230160448
121	4.226219368
122	4.222851198
123	4.218136879
124	4.215474675
125	4.212697158
126	4.21054241
127	4.208441156
128	4.204785444
129	4.202905219
130	4.200482526
131	4.195868004
132	4.192120303
133	4.18721286
134	4.184206912
135	4.181248825
