iter	Passed	Remaining
0	8	5443
1	16	5164
2	24	5098
3	32	5101
4	40	5071
5	48	5054
6	57	5089
7	65	5074
8	73	5069
9	86	5386
10	107	6085
11	129	6670
12	143	6819
13	151	6673
14	158	6524
15	166	6405
16	174	6299
17	182	6200
18	189	6102
19	197	6026
20	205	5954
21	212	5890
22	221	5851
23	229	5801
24	237	5759
25	245	5700
26	252	5653
27	260	5615
28	269	5589
29	276	5538
30	284	5502
31	291	5453
32	299	5421
33	306	5380
34	313	5345
35	322	5328
36	330	5309
37	337	5273
38	346	5258
39	355	5247
40	362	5223
41	370	5194
42	377	5168
43	385	5147
44	394	5138
45	402	5116
46	410	5097
47	418	5084
48	426	5067
49	434	5044
50	441	5017
51	448	4991
52	455	4967
53	463	4947
54	471	4934
55	479	4924
56	486	4904
57	494	4889
58	503	4882
59	510	4861
60	518	4840
61	525	4823
62	532	4802
63	540	4784
64	548	4777
65	556	4764
66	564	4751
67	576	4770
68	584	4757
69	591	4741
70	599	4726
71	606	4708
72	614	4699
73	622	4687
74	630	4672
75	637	4655
76	644	4639
77	656	4653
78	664	4646
79	674	4645
80	682	4634
81	689	4618
82	697	4604
83	709	4620
84	716	4605
85	726	4606
86	734	4595
87	742	4581
88	752	4584
89	760	4570
90	767	4556
91	775	4543
92	784	4537
93	793	4530
94	800	4516
95	807	4499
96	815	4487
97	822	4473
98	831	4465
99	838	4451
100	847	4445
101	854	4434
102	862	4422
103	871	4414
104	878	4401
105	886	4389
106	894	4378
107	902	4369
108	909	4356
109	917	4346
110	924	4332
111	932	4320
112	939	4307
113	947	4296
114	954	4281
115	961	4270
116	969	4260
117	977	4249
118	985	4239
119	992	4226
120	999	4213
121	1007	4202
122	1014	4191
123	1022	4182
124	1030	4170
125	1038	4160
126	1045	4150
127	1052	4136
128	1060	4125
129	1067	4112
130	1074	4100
131	1084	4101
132	1095	4101
133	1102	4090
134	1110	4079
135	1117	4066
136	1124	4056
137	1132	4044
138	1139	4034
139	1147	4022
140	1154	4012
141	1162	4001
142	1169	3992
143	1176	3980
144	1184	3969
145	1191	3957
146	1198	3946
147	1205	3934
148	1213	3924
149	1221	3915
150	1228	3906
151	1235	3893
152	1243	3884
153	1250	3872
154	1257	3861
155	1265	3853
156	1272	3842
157	1280	3831
158	1287	3821
159	1293	3808
160	1301	3799
161	1308	3788
162	1316	3779
163	1324	3771
164	1332	3762
165	1339	3752
166	1347	3742
167	1354	3733
168	1361	3722
169	1370	3715
170	1378	3707
171	1385	3697
172	1393	3690
173	1401	3681
174	1409	3672
175	1416	3662
176	1424	3654
177	1432	3645
178	1439	3635
179	1446	3625
180	1454	3616
181	1462	3607
182	1469	3596
183	1476	3587
184	1484	3578
185	1491	3569
186	1499	3561
187	1507	3552
188	1515	3543
189	1522	3533
190	1530	3526
191	1538	3518
192	1546	3508
193	1553	3499
194	1560	3489
195	1568	3480
196	1577	3475
197	1585	3466
198	1591	3455
199	1599	3447
200	1607	3439
201	1614	3428
202	1622	3420
203	1629	3411
204	1637	3401
205	1644	3392
206	1651	3383
207	1659	3374
208	1666	3364
209	1673	3354
210	1680	3345
211	1688	3336
212	1695	3327
213	1703	3318
214	1710	3309
215	1718	3301
216	1725	3291
217	1732	3282
218	1740	3274
219	1748	3266
220	1755	3257
221	1763	3248
222	1770	3238
223	1778	3230
224	1785	3221
225	1792	3212
226	1799	3203
227	1806	3193
228	1813	3184
229	1822	3176
230	1829	3168
231	1836	3158
232	1843	3148
233	1850	3139
234	1858	3131
235	1865	3122
236	1873	3113
237	1879	3103
238	1886	3094
239	1894	3085
240	1900	3076
241	1908	3067
242	1915	3058
243	1921	3048
244	1928	3038
245	1937	3031
246	1944	3022
247	1951	3013
248	1959	3005
249	1966	2997
250	1974	2988
251	1982	2980
252	1989	2972
253	1996	2963
254	2004	2955
255	2013	2949
256	2021	2941
257	2028	2932
258	2035	2924
259	2042	2915
260	2051	2908
261	2060	2901
262	2071	2898
263	2079	2890
264	2086	2881
265	2094	2874
266	2102	2865
267	2109	2857
268	2117	2849
269	2125	2841
270	2132	2832
271	2139	2823
272	2146	2815
273	2153	2806
274	2160	2796
275	2169	2790
276	2176	2781
277	2184	2773
278	2191	2764
279	2198	2756
280	2206	2747
281	2213	2739
282	2221	2732
283	2231	2726
284	2238	2718
285	2246	2709
286	2253	2701
287	2263	2695
288	2270	2686
289	2278	2679
290	2286	2671
291	2295	2665
292	2303	2656
293	2310	2648
294	2317	2639
295	2325	2631
296	2333	2623
297	2341	2616
298	2349	2609
299	2357	2600
300	2364	2592
301	2372	2584
302	2380	2576
303	2388	2568
304	2396	2561
305	2403	2553
306	2410	2544
307	2418	2536
308	2426	2528
309	2434	2520
310	2441	2511
311	2448	2503
312	2456	2495
313	2465	2488
314	2472	2479
315	2479	2471
316	2486	2463
317	2494	2455
318	2502	2447
319	2510	2439
320	2518	2432
321	2525	2423
322	2533	2415
323	2540	2407
324	2549	2400
325	2556	2391
326	2563	2383
327	2571	2375
328	2579	2367
329	2586	2359
330	2593	2350
331	2600	2342
332	2607	2333
333	2615	2325
334	2622	2317
335	2629	2309
336	2637	2300
337	2644	2292
338	2651	2284
339	2659	2275
340	2666	2267
341	2673	2258
342	2681	2251
